lat,lon
-11.913055555669636,-76.60652777780341
-11.913055555840888,-76.60500000006348
-11.913277777751103,-76.66749999992965
-11.913333333344688,-76.66666666666967
-11.912422838349213,-76.60913065833971
-11.913333333344697,-76.60694444444734
-11.913611111122469,-76.6686111111141
-11.91402777772047,-76.6144444444332
-11.914398148139146,-76.61356481477765
-11.914841270209656,-76.62047619056277
-11.91264427722523,-76.61466191755743
-11.914490740908086,-76.6153703701321
-11.915000000011375,-76.6100000000029
-11.91552469143556,-76.62268518531575
-11.915277777789134,-76.61527777778068
-11.915401235183074,-76.61299382727104
-11.91527777778914,-76.61138888889178
-11.915277777789138,-76.60972222222512
-11.916527777823246,-76.62291666667834
-11.916399999122538,-76.61983333314093
-11.917129629659637,-76.62231481477406
-11.919629629659717,-76.62925925921857
-11.919930555741415,-76.7002083332962
-11.92027777778913,-76.7030555555586
-11.92027777778914,-76.70083333333639
-11.920555555566912,-76.65833333333632
-11.920532407435715,-76.63062499928617
-11.920833333344683,-76.7005555555586
-11.919191472739211,-76.625178561682
-11.921388888900253,-76.70027777778083
-11.92138888890026,-76.65500000000299
-11.922476851444353,-76.70037037127662
-11.921759259266816,-76.63425925932785
-11.921666666780851,-76.62652777780373
-11.921833333682345,-76.63262962975769
-11.921944444455823,-76.62694444444737
-11.921635801887978,-76.70163580134877
-11.922222222233584,-76.63500000000295
-11.92215277819071,-76.6308333332038
-11.922129629659688,-76.62898148144076
-11.92299999993507,-76.62877777770981
-11.922962962993184,-76.65287037032985
-11.923466183826282,-76.63306763456191
-11.923611111122467,-76.70027777778083
-11.92361111112248,-76.62944444444737
-11.924027777720394,-76.7019444444326
-11.924166666952248,-76.6416666667316
-11.924259259289398,-76.64046296292233
-11.924259259328393,-76.70074074064563
-11.924444444558635,-76.65097222224857
-11.924444444558622,-76.64930555558186
-11.92501984099493,-76.63168650795443
-11.924974747871621,-76.64724747557845
-11.924722222233576,-76.64027777778072
-11.92421717188445,-76.6303282825744
-11.925000000011371,-76.67055555555856
-11.925000000114217,-76.6690277778044
-11.925416666609292,-76.64472222221077
-11.924920635406258,-76.6445436513982
-11.925555555566934,-76.67166666666967
-11.925555555566923,-76.64611111111407
-11.925992063009467,-76.66813492073689
-11.925833333447555,-76.64569444447069
